MRTime,Longitude,Latitude,RNCID_1,CellID_1,SignalLevel_1,RSSI_1,RNCID_2,CellID_2,SignalLevel_2,RSSI_2,RNCID_3,CellID_3,SignalLevel_3,RSSI_3,RNCID_4,CellID_4,SignalLevel_4,RSSI_4,RNCID_5,CellID_5,SignalLevel_5,RSSI_5,RNCID_6,CellID_6,SignalLevel_6,RSSI_6,RNCID_7,CellID_7,SignalLevel_7,RSSI_7,LinkNum,id_c5ombine,Longitude_eng,Latitude_eng,lo,la
1510000000000.0,121.2136334,31.2893021,6188,26051,4,-69,6188,27394,4,-73,6182.0,41139.0,4.0,-73.0,6188.0,26049.0,4.0,-79.0,6188.0,27378.0,4.0,-81.0,6188.0,27377.0,4.0,-77.0,6188.0,26050.0,4.0,-73.0,7,32239,121.211928,31.288649,0.0017054000000058522,0.0006531000000009612
1510000000000.0,121.2136328,31.28929923,6188,26051,4,-75,6188,27394,4,-71,6182.0,41139.0,4.0,-73.0,6188.0,26049.0,4.0,-79.0,6188.0,27378.0,4.0,-81.0,6188.0,27377.0,4.0,-73.0,6188.0,26050.0,4.0,-73.0,7,32239,121.211928,31.288649,0.0017047999999988406,0.0006502300000015282
1510000000000.0,121.2137215,31.28933611,6188,26051,4,-73,6188,27394,4,-67,6182.0,41139.0,4.0,-73.0,6188.0,26049.0,4.0,-79.0,6188.0,27377.0,4.0,-73.0,6188.0,26050.0,4.0,-73.0,-999.0,-999.0,-999.0,-999.0,6,32239,121.211928,31.288649,0.0017935000000051105,0.000687110000001212
1510000000000.0,121.2138374,31.28936769,6188,26051,4,-65,6182,41139,4,-73,6188.0,26049.0,4.0,-81.0,6188.0,27377.0,4.0,-71.0,6188.0,26050.0,4.0,-73.0,0.0,-1.0,4.0,-67.0,-999.0,-999.0,-999.0,-999.0,6,32239,121.211928,31.288649,0.0019094000000023925,0.0007186899999993557
1510000000000.0,121.2139809,31.2893627,6188,26051,4,-63,6182,41139,4,-73,6188.0,26049.0,4.0,-81.0,6188.0,27377.0,4.0,-71.0,6188.0,26050.0,4.0,-75.0,0.0,-1.0,4.0,-65.0,-999.0,-999.0,-999.0,-999.0,6,32239,121.211928,31.288649,0.002052899999995361,0.0007137000000021487
1510000000000.0,121.2141212,31.28938831,6188,26051,4,-65,6182,41139,4,-73,6188.0,26049.0,4.0,-83.0,6188.0,27377.0,4.0,-75.0,6188.0,26050.0,4.0,-75.0,0.0,-1.0,4.0,-65.0,-999.0,-999.0,-999.0,-999.0,6,32239,121.211928,31.288649,0.002193199999993567,0.0007393100000001596
1510000000000.0,121.2142422,31.28939588,6188,26051,4,-63,6182,41139,4,-73,6188.0,26049.0,4.0,-83.0,6188.0,27377.0,4.0,-75.0,6188.0,26050.0,4.0,-77.0,0.0,-1.0,4.0,-65.0,-999.0,-999.0,-999.0,-999.0,6,32239,121.211928,31.288649,0.00231420000000071,0.0007468800000012266
1510000000000.0,121.2144077,31.28936882,6188,26051,4,-65,6182,41139,4,-73,6188.0,26049.0,4.0,-83.0,6188.0,27377.0,4.0,-75.0,6188.0,26050.0,4.0,-77.0,0.0,-1.0,4.0,-67.0,-999.0,-999.0,-999.0,-999.0,6,32239,121.211928,31.288649,0.0024796999999949776,0.0007198200000004817
1510000000000.0,121.214537,31.28940984,6188,26051,4,-63,6182,41139,4,-77,6188.0,26049.0,4.0,-81.0,6188.0,27377.0,4.0,-79.0,6188.0,26050.0,4.0,-77.0,0.0,-1.0,4.0,-67.0,-999.0,-999.0,-999.0,-999.0,6,32239,121.211928,31.288649,0.002609000000006745,0.0007608400000016502
1510000000000.0,121.2146543,31.28944871,6188,26051,4,-61,6182,41139,4,-79,6188.0,26049.0,4.0,-81.0,6188.0,27377.0,4.0,-79.0,6188.0,26050.0,4.0,-79.0,0.0,-1.0,4.0,-67.0,-999.0,-999.0,-999.0,-999.0,6,32239,121.211928,31.288649,0.0027263000000061766,0.0007997099999990098
1510000000000.0,121.2147746,31.28949457,6188,26051,4,-65,6182,41139,4,-79,6188.0,26049.0,4.0,-81.0,6188.0,27377.0,4.0,-79.0,6188.0,26050.0,4.0,-81.0,0.0,-1.0,4.0,-67.0,-999.0,-999.0,-999.0,-999.0,6,32239,121.211928,31.288649,0.002846599999998034,0.000845569999999185
1510000000000.0,121.2148617,31.28952737,6188,26051,4,-61,6182,41139,4,-79,6188.0,26049.0,4.0,-83.0,6188.0,27377.0,4.0,-79.0,6188.0,26050.0,4.0,-81.0,0.0,-1.0,4.0,-69.0,-999.0,-999.0,-999.0,-999.0,6,32239,121.211928,31.288649,0.002933699999999817,0.000878369999998796
1510000000000.0,121.2149845,31.28955287,6188,26051,4,-61,6182,41139,4,-81,6188.0,26049.0,4.0,-81.0,6188.0,27377.0,4.0,-75.0,6188.0,26050.0,4.0,-81.0,0.0,-1.0,4.0,-69.0,6188.0,27378.0,4.0,-79.0,7,32239,121.211928,31.288649,0.0030564999999995734,0.0009038700000019162
1510000000000.0,121.215136,31.28952424,6188,26051,4,-57,6182,41139,4,-81,6188.0,26049.0,4.0,-81.0,6188.0,27377.0,4.0,-75.0,6188.0,26050.0,4.0,-81.0,0.0,-1.0,4.0,-67.0,6188.0,27378.0,4.0,-79.0,7,32239,121.211928,31.288649,0.003208000000000766,0.0008752399999991667
